term	crse	class section	descr	min credit	max credit	start dt	end dt	days	start time	end time	newlibintensives	newlib	consent	instruction mode	cap	enrolled	combined section	note	class stat	enrolling	prereqs
Spring, 2025-26	ACCT-2010-01	01	Principles of Accounting I (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM			No Consent Required	In Person	35	27			active	Open	
Spring, 2025-26	ACCT-2020-01	01	Principles of Accounting II (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	01:00PM	01:50PM			No Consent Required	In Person	35	22			active	Open	
Spring, 2025-26	ACCT-3020-01	01	Intermediate Accounting II (23)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM			No Consent Required	In Person	35	6			active	Open	
Spring, 2025-26	ACCT-3020-01	01	Intermediate Accounting II (23)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM			No Consent Required	In Person	35	7			active	Open	
Spring, 2025-26	ACCT-3860-0E	0E	Volunteer Income Tax Assistance Practicum (23)	1.0	1.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	35	10			active	Open	
Spring, 2025-26	ACCT-4020-01	01	Federal Income Tax (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM	Writing Intensive Upper Div		No Consent Required	In Person	20	16			active	Open	
Spring, 2025-26	ACCT-4310-01	01	Auditing (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	01:00PM	01:50PM			No Consent Required	In Person	30	10			active	Open	
Spring, 2025-26	ARTS-1230-01	01	Painting for Liberal Arts (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM		WKNW 4 Aesthetic Ways Knowg	No Consent Required	In Person	25	24			active	Open	
Spring, 2025-26	ARTS-4114-01	01	Design for Digital Media (24)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	15	4			active	Open	
Spring, 2025-26	ARTS-4420-01	01	Design Methodology (24)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM			No Consent Required	In Person	15	7			active	Open	
Spring, 2025-26	ARTS-4820-01	01	Internship (24)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	10	0			active	Open	
Spring, 2025-26	ARTS-4820-02	02	Internship (24)	1.0	4.0	01/14/2026	05/08/2026						Not Enrolling	In Person	10	0			active	Closed	
Spring, 2025-26	ARTS-4950-01	01	Comprehensive Projects II (23)	4.0	4.0	01/14/2026	05/08/2026	TR	09:00AM	10:50AM	Speaking Intensive		No Consent Required	In Person	10	4			active	Open	
Spring, 2025-26	BIBL-2000-01	01	Intro to the Bible (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM		FSKL 6 Biblical Literacy	No Consent Required	In Person	35	29			active	Open	
Spring, 2025-26	BIBL-2000-02	02	Intro to the Bible (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM		FSKL 6 Biblical Literacy	No Consent Required	In Person	35	22			active	Open	
Spring, 2025-26	BIBL-2000-03	03	Intro to the Bible (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM		FSKL 6 Biblical Literacy	No Consent Required	In Person	35	31			active	Open	
Spring, 2025-26	BIBL-2050-8ES	8ES	Methods in Biblical Exegesis (24)	3.0	3.0	03/16/2026	05/08/2026						Consent Required	Synchronous Online	20	16			active	Open	
Spring, 2025-26	BIBL-2120-0E	0E	Beginning Hebrew II (23)	4.0	4.0	01/14/2026	05/08/2026					WKNW 6 Glob/Intcult Ways FL	No Consent Required	Asynchronous Online	20	0	C		active	Open	
Spring, 2025-26	BIBL-3410-0EA	0EA	Images of Jesus Then and Now (24)	3.0	3.0	01/14/2026	05/08/2026					WKNW 1 Christian Ways Knowg	No Consent Required	Asynchronous Online	30	31			active	Open	
Spring, 2025-26	BIBL-3410-5E	5E	Images of Jesus Then and Now (24)	3.0	3.0	01/14/2026	05/08/2026					WKNW 1 Christian Ways Knowg	No Consent Required	Asynchronous Online	5	1			active	Open	
Spring, 2025-26	BIBL-4910-01	01	Seminar (23)	1.0	4.0	01/14/2026	05/08/2026	TR	09:30AM	10:45AM			No Consent Required	In Person	35	2			active	Open	
Spring, 2025-26	BIOL-1000-01	01	Principles of Modern Biology (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	01:00PM	01:50PM		WKNW 2 Scientific Ways Knowg	No Consent Required	In Person	40	10			active	Open	
Spring, 2025-26	BIOL-1000-01	01	Principles of Modern Biology (24)	4.0	4.0	01/14/2026	05/08/2026	R	01:00PM	02:50PM		WKNW 2 Scientific Ways Knowg	No Consent Required	In Person	40	10		laboratory	active	Open	
Spring, 2025-26	BIOL-2010-0E	0E	Medical Terminology (24)	2.0	2.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	25	15			active	Open	
Spring, 2025-26	BIOL-2220-01	01	Foundations of Modern Biology II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM			No Consent Required	In Person	30	21			active	Open	
Spring, 2025-26	BIOL-2220L-LA	LA	Foundations of Modern Biology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	30	21			active	Open	
Spring, 2025-26	BIOL-2220L-LA	LA	Foundations of Modern Biology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	30	21		laboratory	active	Open	
Spring, 2025-26	BIOL-2240-01	01	Cell Biology (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	24	12			active	Open	
Spring, 2025-26	BIOL-2240-01	01	Cell Biology (24)	4.0	4.0	01/14/2026	05/08/2026	T	01:00PM	03:50PM			No Consent Required	In Person	24	12			active	Open	
Spring, 2025-26	BIOL-2240-01	01	Cell Biology (24)	4.0	4.0	01/14/2026	05/08/2026	T	01:00PM	03:50PM			No Consent Required	In Person	24	12		laboratory	active	Open	
Spring, 2025-26	BIOL-2420-01	01	Human Anatomy and Physiology II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	01:00PM	01:50PM			No Consent Required	In Person	120	43			active	Open	
Spring, 2025-26	BIOL-2420L-LA	LA	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	30	26			active	Open	
Spring, 2025-26	BIOL-2420L-LA	LA	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	30	26		laboratory	active	Open	
Spring, 2025-26	BIOL-2420L-LB	LB	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM			No Consent Required	In Person	30	17			active	Open	
Spring, 2025-26	BIOL-2420L-LB	LB	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM			No Consent Required	In Person	30	17		laboratory	active	Open	
Spring, 2025-26	BIOL-4070-01	01	Ecology and Evolutionary Biology (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	25	7			active	Open	
Spring, 2025-26	BIOL-4070-01	01	Ecology and Evolutionary Biology (24)	4.0	4.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	25	7			active	Open	
Spring, 2025-26	BIOL-4070-01	01	Ecology and Evolutionary Biology (24)	4.0	4.0	01/14/2026	05/08/2026	T	01:00PM	02:50PM			No Consent Required	In Person	25	7		laboratory	active	Open	
Spring, 2025-26	BIOL-4220-01	01	Biochemistry II (24)	4.0	4.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM			No Consent Required	In Person	15	5	C	Same: BIOL/CHEM4220	active	Open	
Spring, 2025-26	BIOL-4220L-LA	LA	Biochemistry II (24) - Lab	0.0	0.0	01/14/2026	05/08/2026	T	09:00AM	10:50AM			No Consent Required	In Person	15	5			active	Open	
Spring, 2025-26	BIOL-4910-01	01	Science Seminar I (24)	1.0	1.0	01/14/2026	05/08/2026	R	12:00PM	12:50PM			No Consent Required	In Person	35	5	C	Same: BIOL/CHEM/PHYS4910	active	Open	
Spring, 2025-26	BIOL-4920-01	01	Science Seminar II (24)	1.0	1.0	01/14/2026	05/08/2026	R	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		No Consent Required	In Person	35	6	C	Same: BIOL/CHEM/PHYS4920	active	Open	
Spring, 2025-26	BSNS-2310-0E	0E	Business Analytics (23)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	38	36			active	Open	
Spring, 2025-26	BSNS-2450-01	01	Data Analysis and Decision Making for Business (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM			No Consent Required	In Person	35	23			active	Open	
Spring, 2025-26	BSNS-2510-01	01	Principles of Finance (23)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	35	27			active	Open	
