crse	descr	min credit	max credit	days	start time	end time	newlibintensives	newlib	consent	instruction mode	enrolled	note	enrolling
ACCT-2010-01	Principles of Accounting I	3.0	3.0	MWF	08:00AM	08:50AM			Consent Required	In Person	0		Open
ACCT-2020-01	Principles of Accounting II	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
ACCT-3010-01	Intermediate Accounting I	3.0	3.0	MWF	08:00AM	08:50AM			Consent Required	In Person	0		Open
ACCT-3110-01	Managerial Accounting	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
ARTH-3040-0E	Great Themes in Global Art History	3.0	3.0				Speaking Intensive	WKNW 4 Aesthetic Ways Knowg	Consent Required	Asynchronous Online	0		Open
ARTS-3114-01	Visual Design Studio II	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
ARTS-4820-01	Internship	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4820-02	Internship	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4820-03	Internship	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4820-04	Internship	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4930-01	Comprehensive Projects I	2.0	2.0	R	09:00AM	10:50AM			Consent Required	In Person	0		Open
BIBL-2000-01	Intro to the Bible	3.0	3.0	MWF	10:00AM	10:50AM		FSKL 6 Biblical Literacy	Consent Required	In Person	1		Open
BIBL-2000-02	Intro to the Bible	3.0	3.0	MWF	03:00PM	03:50PM		FSKL 6 Biblical Literacy	Consent Required	In Person	0		Open
BIBL-2000-0E	Intro to the Bible	3.0	3.0					FSKL 6 Biblical Literacy	Consent Required	Asynchronous Online	0		Open
BIBL-2050-01	Methods in Biblical Exegesis	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BIBL-2210-0B	Beginning Greek I	4.0	4.0					WKNW 6 Glob/Intcult Ways FL	Consent Required	Hybrid	0	laboratory	Open
BIBL-2210-0B	Beginning Greek I	4.0	4.0	MWF	01:00PM	01:50PM		WKNW 6 Glob/Intcult Ways FL	Consent Required	Hybrid	0		Open
BIBL-3410-0E	Images of Jesus Then and Now	3.0	3.0					WKNW 1 Christian Ways Knowg	Consent Required	Asynchronous Online	0		Open
BIOL-2010-0E	Medical Terminology	2.0	2.0						Consent Required	Asynchronous Online	0		Open
BIOL-2040-01	Personal and Community Health	3.0	3.0	TR	02:30PM	03:45PM			Consent Required	In Person	0		Open
BIOL-2210-01	Foundations of Modern Biology I	4.0	4.0	MWF	01:00PM	01:50PM		WKNW 2 Scientific Ways Knowg	Consent Required	In Person	0		Open
BIOL-2210L-LA	Foundations of Modern Biology I	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2230-01	Microbes and Disease	4.0	4.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BIOL-2230L-LA	Microbes and Disease	0.0	0.0	R	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2410-01	Human Anatomy and Physiology I	4.0	4.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BIOL-2410L-LA	Human Anatomy and Physiology I	0.0	0.0	T	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-2410L-LB	Human Anatomy and Physiology I	0.0	0.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-3030-01	Microbiology	4.0	4.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BIOL-3030L-LA	Microbiology	0.0	0.0	TR	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-3510-01	Bioethics	3.0	3.0	MWF	11:00AM	11:50AM		FSKL 2 Civ Discrse Crit Reas	Consent Required	In Person	0	Same: BIOL/PUBH3510	Open
BIOL-4050-01	Genetics	4.0	4.0	MWF	02:00PM	02:50PM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
BIOL-4050L-LA	Genetics - Lab	0.0	0.0	R	08:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-4120-01	Mammalian Physiology	4.0	4.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
BIOL-4120L-LA	Mammalian Physiology - Lab	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-4210-01	Biochemistry I	4.0	4.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0	Same: BIOL/CHEM4210	Open
BIOL-4210L-LA	Biochemistry I	0.0	0.0	T	08:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-4910-01	Science Seminar I	1.0	1.0	R	12:00PM	12:50PM			Consent Required	In Person	0	Same: BIOL/CHEM/PHYS4910	Open
BSNS-1050-01	Business as a Profession	3.0	3.0	R	09:30AM	10:50AM			Consent Required	In Person	0		Open
BSNS-1050-01	Business as a Profession	3.0	3.0	T	09:30AM	10:50AM			Consent Required	In Person	0		Open
BSNS-1050-02	Business as a Profession	3.0	3.0	R	09:30AM	10:50AM			Consent Required	In Person	0		Open
BSNS-1050-02	Business as a Profession	3.0	3.0	T	09:33AM	10:50AM			Consent Required	In Person	0		Open
BSNS-2310-01	Business Analytics	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-2450-01	Data Analysis and Decision Making for Business	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
BSNS-2510-01	Principles of Finance	3.0	3.0	MWF	08:00AM	08:50AM			Consent Required	In Person	0		Open
BSNS-2550-01	Business Communications	3.0	3.0	TR	08:00AM	09:15AM			Consent Required	In Person	0		Open
BSNS-2710-01	Principles of Management	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BSNS-2810-01	Principles of Marketing	3.0	3.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
