crse	descr	min credit	max credit	days	start time	end time	newlibintensives	newlib	consent	instruction mode	enrolled	note	enrolling
ACCT-2010-01	Principles of Accounting I (23)	3.0	3.0	MWF	08:00AM	08:50AM			Consent Required	In Person	0		Open
ACCT-3020-01	Intermediate Accounting II (23)	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
ACCT-3860-01	Volunteer Income Tax Assistance Practicum (23)	1.0	1.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
ACCT-4020-01	Federal Income Tax (23)	3.0	3.0	MWF	08:00AM	08:50AM	Writing Intensive Upper Div		Consent Required	In Person	0		Open
ACCT-4310-01	Auditing (23)	3.0	3.0	TR	08:00AM	09:15AM			Consent Required	In Person	0		Open
ARTS-1210-01	Drawing for Liberal Arts (23)	3.0	3.0		02:00PM	02:50PM		WKNW 4 Aesthetic Ways Knowg	Consent Required	In Person	0		Open
ARTS-4820-01	Internship (24)	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4820-02	Internship (24)	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4820-03	Internship (24)	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4820-04	Internship (24)	1.0	4.0						Consent Required	In Person	0		Open
ARTS-4950-01	Comprehensive Projects II (23)	4.0	4.0	TR	09:00AM	10:50AM	Speaking Intensive		Consent Required	In Person	0		Open
BIBL-2000-01	Intro to the Bible (23)	3.0	3.0	MWF	09:00AM	09:50AM		FSKL 6 Biblical Literacy	Consent Required	In Person	0		Open
BIBL-2000-02	Intro to the Bible (23)	3.0	3.0	MWF	03:00PM	03:50PM		FSKL 6 Biblical Literacy	Consent Required	In Person	0		Open
BIBL-2220-0B	Beginning Greek II (24)	4.0	4.0	MWF	01:00PM	01:50PM		WKNW 6 Glob/Intcult Ways FL	Consent Required	Hybrid	0		Open
BIBL-3384-01	Former/Latter Prophets: Isaiah (24)	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
BIBL-3410-0EA	Images of Jesus Then and Now (24)	3.0	3.0					WKNW 1 Christian Ways Knowg	Consent Required	Asynchronous Online	0		Open
BIOL-1000-01	Principles of Modern Biology (24)	4.0	4.0	MWF	01:00PM	01:50PM		WKNW 2 Scientific Ways Knowg	Consent Required	In Person	0		Open
BIOL-1000L-LA	Principles of Modern Biology (24) - Lab	0.0	0.0	R	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2010-0E	Medical Terminology (24)	2.0	2.0						Consent Required	Asynchronous Online	0		Open
BIOL-2220-01	Foundations of Modern Biology II (24)	4.0	4.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BIOL-2220L-LA	Foundations of Modern Biology II (24) - Lab	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2240-01	Cell Biology (24)	4.0	4.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BIOL-2240L-LA	Cell Biology - Lab	0.0	0.0	R	01:00PM	03:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-2420-01	Human Anatomy and Physiology II (24)	4.0	4.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BIOL-2420L-LA	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	T	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-2420L-LB	Human Anatomy and Physiology II (24) - Lab	0.0	0.0	R	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-4070-01	Ecology and Evolutionary Biology (24)	4.0	4.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BIOL-4070L-LA	Ecology and Evolutionary Genetics	0.0	0.0	T	01:00PM	02:50PM			Consent Required	In Person	0	laboratory	Open
BIOL-4310-01	Molecular Biochemistry and Genetics (24)	4.0	4.0	MWF	09:00AM	09:50AM			Consent Required	In Person	0		Open
BIOL-4310L-LA	Molecular Biochemistry and Genetics	0.0	0.0	TR	09:00AM	10:50AM			Consent Required	In Person	0	laboratory	Open
BIOL-4920-01	Science Seminar II (24)	1.0	1.0	R	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		Consent Required	In Person	0	Same: BIOL/CHEM/PHYS4920	Open
BSNS-2310-01	Business Analytics (23)	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-2450-01	Data Analysis and Decision Making for Business (23)	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BSNS-2510-01	Principles of Finance (23)	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BSNS-2550-01	Business Communications (25)	3.0	3.0	MWF	08:00AM	08:50AM			Consent Required	In Person	0		Open
BSNS-2710-01	Principles of Management (23)	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BSNS-2810-01	Principles of Marketing (23)	3.0	3.0	TR	09:30AM	10:15AM			Consent Required	In Person	0		Open
BSNS-3240-01	Operations Management (23)	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
BSNS-3330-0B	Music Marketing (23)	3.0	3.0	TR	12:00PM	12:50PM	Speaking/Writing UpDiv Intens		Consent Required	In Person	0	Same: MUBS3350/BSNS3330	Open
BSNS-3350-01	Corporate Finance (23)	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0		Open
BSNS-3420-01	Business Law (23)	3.0	3.0	TR	01:00PM	02:15PM		FSKL 2 Civ Discrse Crit Reas	Consent Required	In Person	0		Open
BSNS-3550-01	Integrated Branding and Promotion I (23)	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-4010-01	Organizational Behavior and Theory (23)	3.0	3.0	MWF	01:00PM	01:50PM			Consent Required	In Person	0	Same: BSNS4010/PSYC3220	Open
BSNS-4160-01	Portfolio Management (23)	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-4260-01	Estate Planning (23)	3.0	3.0	MWF	02:00PM	02:50PM			Consent Required	In Person	0		Open
BSNS-4310-01	Business Planning Development (23)	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
BSNS-4330-01	Marketing Management (23)	3.0	3.0	MWF	10:00AM	10:50AM			Consent Required	In Person	0		Open
BSNS-4360-01	Sport Sponsorship and Sales (23)	3.0	3.0	TR	01:00PM	02:15PM			Consent Required	In Person	0		Open
BSNS-4390-01	Advanced Predictive Analytics (23)	3.0	3.0	TR	09:30AM	10:50AM			Consent Required	In Person	0		Open
BSNS-4400-01	Social Media (23)	3.0	3.0	TR	09:30AM	10:45AM			Consent Required	In Person	0		Open
BSNS-4500-01	Strategic Management (23)	3.0	3.0	MWF	11:00AM	11:50AM			Consent Required	In Person	0		Open
BSNS-4560-01	Bsns of Game-Day Exper (23)	3.0	3.0	TR	08:00AM	09:15AM			Consent Required	In Person	0		Open
BSNS-4800-01	Business Internship (23)	1.0	4.0						Consent Required	In Person	0		Open
